,question_id,correctly_answered,incorrectly_answered,not_answered,avg_marks_correct,avg_marks_incorrect,avg_marks_na,f1,f2
1357,1358,216,84,5,31.0139,17.1667,17.6923,0.012052172499569956,0.4437118960846411
1358,1359,164,139,14,32.2439,23.4964,22.775,0.009361753331482797,0.35398100493940093
1359,1360,34,87,73,24.2941,20.8736,26.6364,0.0016076702039110507,0.04694994952169468
1360,1361,65,132,49,37.2154,18.9015,23.5375,0.004079912627663482,0.17569353663853163
1361,1362,178,119,14,30.3764,19.3361,19.4,0.009767123298644638,0.3594340065375299
1362,1363,153,163,13,33.6078,22.865,19.4186,0.008982760775022655,0.3523248456201957
1363,1364,260,65,10,31.0731,15.9692,19.2041,0.0145350255819427,0.5199763046470038
1364,1365,73,131,51,28.2192,15.8855,19.1698,0.00382430123254745,0.13267301687721697
1365,1366,138,138,17,37.942,17.9783,18.1159,0.008810018054076187,0.38398268624819504
1366,1367,81,111,61,38.642,20.7477,28.1148,0.005233501695600675,0.23012281114459998
1367,1368,64,221,17,39.5313,23.4525,21.0656,0.004194464365586143,0.18578437714514162
1368,1369,75,116,57,39.8533,16.8362,25.0147,0.0049171826498554064,0.22007497553655625
1369,1370,93,193,25,28.2903,17.6166,20.0842,0.004856359812593608,0.16421611931736158
1370,1371,33,267,10,23.7273,16.5655,15.16,0.0015338294286897738,0.048647021509073005
1371,1372,45,241,16,31.4667,20.7469,19.3077,0.002509016113200492,0.09600191733552613
1372,1373,79,123,50,35.5949,16.878,23.2057,0.004815755139164616,0.19811471331678143
1373,1374,197,109,8,33.2284,16.6606,20.7609,0.01153330709899591,0.44000476464518834
1374,1375,136,134,22,34.5221,20.2537,22.0127,0.008045748768827382,0.3302211997552969
1375,1376,34,180,39,35.3529,21.0611,22.6923,0.0020606351861248407,0.08548507711470973
1376,1377,101,193,18,35.604,17.3161,16.8906,0.0061670404491206525,0.24880885542630793
1377,1378,210,94,5,28.019,14.5851,18.3158,0.010965973593223915,0.3782578644159518
1378,1379,20,215,39,36.1,26.4279,21.4034,0.001207335395834976,0.05260755000521693
1379,1380,184,55,37,33.5163,12.0909,23.6885,0.010786593509993617,0.4199879431726664
1380,1381,41,208,22,45.0732,24.4519,23.7077,0.0029029299414613415,0.14688952156160173
1381,1382,118,138,49,32.7034,22.7826,21.1484,0.00669442243478805,0.27006367194962716
1382,1383,120,152,26,39.6917,16.1776,21.3956,0.007944815766343679,0.3478906884020572
1383,1384,109,144,32,34.3303,16.8889,19.1048,0.006461107131176678,0.2601807454022189
1384,1385,91,139,19,30.6154,21.5252,22.4,0.005016539508664564,0.18665539591368555
1385,1386,87,148,27,40.931,21.7973,26.62,0.005802029121302139,0.26798784146102556
1386,1387,94,113,46,35.5851,17.646,25.0647,0.005664279484015775,0.2371548211080311
1387,1388,131,99,17,27.7328,22.2525,20.6346,0.006732428094658172,0.22640271235897738
1388,1389,90,152,43,32.3889,27.0526,27.09,0.0051105944817847115,0.19784045752765686
1389,1390,111,145,30,32.6306,20.6621,19.6437,0.006413889452009495,0.24838300465629604
1390,1391,69,201,21,37.4783,23.0945,23.5824,0.004342451969056479,0.18833429382264844
1391,1392,63,207,21,35.3333,23.6232,20.4699,0.003822778690864555,0.158938319506069
1392,1393,117,88,49,32.6239,19.7159,22.8348,0.00676443388165544,0.2580314015220094
1393,1394,63,154,40,32.0952,17.8961,23.3583,0.0035767888893303373,0.13707299462861197
1394,1395,308,6,1,29.0065,10.5,18.2667,0.016395577850561928,0.5660430132495321
1395,1396,266,19,7,25.6278,12.0526,20.1915,0.01305026086624967,0.4133042720544222
1396,1397,245,68,9,27.698,13.9118,17.0,0.012675848530922688,0.4079508962273383
1397,1398,120,90,59,31.6083,12.7222,20.9337,0.0066976517537739744,0.25404680516452494
1398,1399,102,107,14,29.3725,21.3832,20.2281,0.005448750501635021,0.19183923060403454
1399,1400,93,126,32,30.8495,15.3413,21.3644,0.00516306523269017,0.18624182913778264
1400,1401,179,77,31,33.1788,18.3117,23.3302,0.01040463401643148,0.4087920601382728
1401,1402,89,224,9,34.8989,18.9375,16.4833,0.005398861432204594,0.21123479284644806
1402,1403,144,109,33,31.9653,16.1927,19.6818,0.008170127652982726,0.3122834262894813
1403,1404,114,148,18,30.2982,17.6081,23.8421,0.006237498540374808,0.22095118612265047
1404,1405,78,164,26,32.0,25.5244,22.5046,0.004362618107923253,0.16925820717943907
1405,1406,116,137,28,33.8448,16.7153,24.1212,0.006924996138708391,0.26243351409216314
1406,1407,47,217,12,25.1702,23.0276,23.2537,0.0022826337908055366,0.06964991406177003
1407,1408,163,47,36,28.4663,16.766,25.1429,0.008526239499648034,0.29473849263137875
1408,1409,152,218,0,32.8224,21.0596,13.5625,0.008792080853085386,0.3338680754323068
1409,1410,71,175,32,27.493,23.6,22.8542,0.003592516050170796,0.12419508575355867
1410,1411,35,182,57,36.6,20.9615,24.0685,0.002156831935677109,0.09277202686104889
1411,1412,116,171,22,30.5948,18.5965,18.1375,0.006353426888574984,0.2359059505601931
1412,1413,44,227,25,32.2045,24.2115,17.1928,0.002506388398771415,0.09707161242463487
1413,1414,230,25,10,30.5478,13.12,22.1429,0.012634470392098595,0.46076087064361715
1414,1415,110,174,26,27.0818,23.6954,21.1011,0.005560970507138949,0.19039505350904795
1415,1416,125,157,18,28.456,19.9427,18.7015,0.006538082156455163,0.2347767688083915
1416,1417,280,40,8,30.1607,14.75,16.4688,0.015240714645068315,0.5501084360682795
1417,1418,94,184,11,33.266,19.6793,22.42,0.005487678953244551,0.21014804009814472
1418,1419,162,77,31,36.4012,15.1818,24.5979,0.010064114894803942,0.41382094462135577
1419,1420,155,72,39,32.4968,13.2361,20.4094,0.008935580061858262,0.335378092433227
1420,1421,177,110,12,32.9209,13.5455,15.7778,0.010313556180248927,0.3860410485466453
1421,1422,57,189,20,27.7193,21.5503,20.6739,0.002922214003697983,0.10482972001245498
1422,1423,124,137,19,39.7581,21.9562,25.1928,0.008162595680415241,0.35939628206437
1423,1424,75,213,17,40.3067,24.5681,22.9508,0.00494418517530958,0.23299159325186009
1424,1425,170,111,25,32.4882,12.9189,16.6145,0.009870795357460058,0.35759042878432973
1425,1426,39,202,36,42.641,26.7871,24.0536,0.002704029467451956,0.12865413171522916
1426,1427,166,99,26,30.512,12.0808,18.1628,0.009107769870059778,0.32662783645912824
1427,1428,201,76,25,34.6965,16.6316,21.25,0.01212787352795452,0.4754317428095916
1428,1429,60,223,24,32.6833,21.8789,22.1169,0.0034253196711886745,0.132423919742631
1429,1430,142,149,13,31.162,17.7852,18.3529,0.007932511598150649,0.29573913514489003
1430,1431,206,54,10,34.2524,19.2407,17.6111,0.012182017649930196,0.4863823209946269
1431,1432,107,182,14,40.8598,28.4505,25.4762,0.0070900956773626905,0.33356714733857906
1432,1433,152,116,7,22.3553,21.9483,16.325,0.006769974894370983,0.19173193948361902
1433,1434,226,55,8,30.0265,16.8545,21.2449,0.012320019574932655,0.4368919167139474
1434,1435,124,133,20,27.3468,22.0752,21.7778,0.006301099360344129,0.22255376812876587
1435,1436,39,248,10,40.2564,26.3266,21.6087,0.002600382595900413,0.11626694646304676
1436,1437,70,186,18,34.4143,19.6452,21.2192,0.004242490878698067,0.16610128879425395
